symbol,date,isEnabled
A,2020-04-09,true
AA,2020-04-09,true
AAAU,2020-04-09,true
AACG,2020-04-09,true
AADR,2020-04-09,true
AAL,2020-04-09,true
AAMC,2020-04-09,true
AAME,2020-04-09,true
AAN,2020-04-09,true
AAOI,2020-04-09,true
AAON,2020-04-09,true
AAP,2020-04-09,true
AAPL,2020-04-09,true
AAT,2020-04-09,true
AAU,2020-04-09,true
AAWW,2020-04-09,true
AAXJ,2020-04-09,true
AAXN,2020-04-09,true
AB,2020-04-09,true
ABB,2020-04-09,true
ABBV,2020-04-09,true
ABC,2020-04-09,true
ABCB,2020-04-09,true
ABEO,2020-04-09,true
ABEQ,2020-04-09,true
ABEV,2020-04-09,true
ABG,2020-04-09,true
ABIO,2020-04-09,true
ABM,2020-04-09,true
ABMD,2020-04-09,true
ABR,2020-04-09,true
ABR-A,2020-04-09,true
ABR-B,2020-04-09,true
ABR-C,2020-04-09,true
ABT,2020-04-09,true
ABTX,2020-04-09,true
ABUS,2020-04-09,true
AC,2020-04-09,true
ACA,2020-04-09,true
ACAD,2020-04-09,true
ACAM,2020-04-09,true
ACAMU,2020-04-09,true
ACAMW,2020-04-09,true
ACB,2020-04-09,true
ACBI,2020-04-09,true
ACC,2020-04-09,true
ACCO,2020-04-09,true
ACEL,2020-04-09,true
ACEL+,2020-04-09,true
ACER,2020-04-09,true
ACES,2020-04-09,true
ACGL,2020-04-09,true
ACGLO,2020-04-09,true
ACGLP,2020-04-09,true
ACH,2020-04-09,true
ACHC,2020-04-09,true
ACHV,2020-04-09,true
ACIA,2020-04-09,true
ACIO,2020-04-09,true
ACIU,2020-04-09,true
ACIW,2020-04-09,true
ACLS,2020-04-09,true
ACM,2020-04-09,true
ACMR,2020-04-09,true
ACN,2020-04-09,true
ACNB,2020-04-09,true
ACOR,2020-04-09,true
ACP,2020-04-09,true
ACRE,2020-04-09,true
ACRS,2020-04-09,true
ACRX,2020-04-09,true
ACSG,2020-04-09,true
ACSI,2020-04-09,true
ACST,2020-04-09,true
ACT,2020-04-09,true
ACTG,2020-04-09,true
ACTT,2020-04-09,true
ACTTU,2020-04-09,true
ACTTW,2020-04-09,true
ACU,2020-04-09,true
ACV,2020-04-09,true
ACWF,2020-04-09,true
ACWI,2020-04-09,true
ACWV,2020-04-09,true
ACWX,2020-04-09,true
ACY,2020-04-09,true
ADAP,2020-04-09,true
ADBE,2020-04-09,true
ADC,2020-04-09,true
ADES,2020-04-09,true
ADI,2020-04-09,true
ADIL,2020-04-09,true
ADILW,2020-04-09,true
ADM,2020-04-09,true
ADMA,2020-04-09,true
ADME,2020-04-09,true
ADMP,2020-04-09,true
ADMS,2020-04-09,true
ADNT,2020-04-09,true
ADP,2020-04-09,true
ADPT,2020-04-09,true
ADRE,2020-04-09,true
ADRO,2020-04-09,true
ADS,2020-04-09,true
ADSK,2020-04-09,true
ADSW,2020-04-09,true
ADT,2020-04-09,true
ADTN,2020-04-09,true
ADUS,2020-04-09,true
ADVM,2020-04-09,true
ADX,2020-04-09,true
ADXN,2020-04-09,true
ADXS,2020-04-09,true
AE,2020-04-09,true
AEB,2020-04-09,true
AEE,2020-04-09,true
AEF,2020-04-09,true
AEFC,2020-04-09,true
AEG,2020-04-09,true
AEGN,2020-04-09,true
AEHR,2020-04-09,true
AEIS,2020-04-09,true
AEL,2020-04-09,true
AEL-A,2020-04-09,true
AEM,2020-04-09,true
AEMD,2020-04-09,true
AEO,2020-04-09,true
AEP,2020-04-09,true
AEP-B,2020-04-09,true
AER,2020-04-09,true
AERI,2020-04-09,true
AES,2020-04-09,true
AESE,2020-04-09,true
AESR,2020-04-09,true
AEY,2020-04-09,true
AEYE,2020-04-09,true
AEZS,2020-04-09,true
AFB,2020-04-09,true
AFC,2020-04-09,true
AFG,2020-04-09,true
AFGB,2020-04-09,true
AFGC,2020-04-09,true
AFGH,2020-04-09,true
AFH,2020-04-09,true
AFI,2020-04-09,true
AFIF,2020-04-09,true
AFIN,2020-04-09,true
